problem_hash,input,model_name,shot_strategy,planning,procedural,judge_rationales_json,score_creative_alignment,score_instructional_precision,score_emergence,score_structural_coherence,score_programmatic_validation,score_tree_edit_distance,score_jaccard_similarity,param_nesting_complexity,param_component_complexity,description_style,description_detail
98a1ef1452b4cb0cd39a462879a0a1539846beebdb126763f808d8944673f7a5,A canon ball with a rainbow trail behind it,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the core idea of a cannonball with a rainbow trail by using a projectile and a timerTrigger to spawn colored powder manifestations, but the trail is implemented as discrete puffs rather than a continuous effect, and the colors do not fully represent the entire rainbow spectrum (missing blue and violet)."", ""instructional_precision"": ""The response follows the main instruction for a cannonball and attempts a rainbow trail, but it misses the full set of rainbow colors and the trail is not truly continuous, which slightly diverges from the prompt's intent."", ""emergence"": ""The use of multiple manifestations to simulate a rainbow trail is a clever approach, but it does not go beyond the obvious solution or add any delightful or unexpected features."", ""structural_coherence"": ""The JSON is structurally valid, uses only allowed components and elements, and the nesting is logical and correct, though the timerTrigger's use of multiple manifestations at the same level is slightly inelegant but not technically incorrect.""}",4,4,3,5,Passed,,,,,,
a9ea22e7bb139c47ee1a90c8570a1ad079990b92ebcb2021bc7c4880cfd3f9a2,A thousand small knives,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell evokes the idea of many small knives by using a high count and small, fast projectiles, but 'a thousand' is only loosely represented by a count of 20, and the sense of overwhelming quantity is not fully realized."", ""instructional_precision"": ""While the spell uses neutral projectiles and manifests knife-like solids on impact, it falls short of the implied scale and spectacle of 'a thousand' knives, and does not include any creative mechanism to simulate such a large number."", ""emergence"": ""The implementation is competent but literal, simply multiplying a basic projectile without any clever mechanics or visual flair to enhance the 'storm' or 'swarm' aspect."", ""structural_coherence"": ""The JSON is structurally valid and logically consistent with the rules, with correct use of components and nesting.""}",3,3,2,5,Passed,,,,,,
478a936573e0e1aa0fb9b1e51af4d1ba40d4b476a9ad9670fb452e9b7a5ccbed,a torrential downpour that floods the battlefield in a ton of water,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell effectively conveys the idea of a torrential downpour flooding the battlefield by using a large AoE and repeatedly manifesting water, but it lacks any explicit rain or storm visual or thematic detail beyond the flooding effect."", ""instructional_precision"": ""The response follows the main instruction to create a widespread, water-based flooding effect, but it does not explicitly represent the 'downpour' aspect as a rain or falling water, missing a nuance of the prompt."", ""emergence"": ""The use of a looping timer to repeatedly manifest water is a competent and slightly creative way to simulate accumulating floodwater, but it does not add any surprising or delightful features beyond the basic flooding."", ""structural_coherence"": ""The JSON is structurally valid, all components are used correctly, and there are no logical contradictions or forbidden nesting.""}",4,4,3,5,Passed,,,,,,
6ea667b7617a1a8db69cecb8fe81cfea84a5dd47476149e78e2e7856c41d0d5e,A really large fireball which splits into two in mid air,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a large fireball splitting into two mid-air, but lacks any visual or thematic flair to emphasize the 'really large' aspect or the drama of the split."", ""instructional_precision"": ""The spell implements a large initial projectile that splits into two after a timer, but does not explicitly ensure the split is visually dramatic or that the resulting projectiles are clearly derived from the original, and the use of two separate spawnAngles is a bit simplistic."", ""emergence"": ""While the split is implemented, there is no additional creative detail such as a burst effect, trail, or any unique behavior to make the split more interesting or visually impressive."", ""structural_coherence"": ""The JSON is valid and the structure is correct, but the repeated use of color and element components for each subprojectile is redundant, and the use of 'replace: true' in timerTrigger is not strictly necessary here but does not break logic.""}",4,4,2,4,Passed,,,,,,
441692c0d4ea7bab32729f9e662acab90124656555c8d95cd272f40cd8c2d5d8,An ice beam which freezes the opponent,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell uses an AoE with ice element and manifests solid ice to imply freezing, but it does not clearly represent a 'beam' or a direct freezing effect on a single opponent, missing the core 'beam' aspect of the prompt."", ""instructional_precision"": ""While it uses the ice element and attempts to freeze via a harmful solid manifestation, it does not implement a beam mechanic (such as a projectile or wallCrawl) and applies an AoE instead, which is not what was requested."", ""emergence"": ""The repeated manifestation of ice via timerTrigger adds a bit of dynamism, but overall the spell is a straightforward AoE freeze and does not introduce any clever or unexpected features."", ""structural_coherence"": ""The JSON is structurally valid and all components are used correctly according to the rules, but the use of 'blockpath': false for a solid class is questionable and the freezing effect is only implied, not explicit.""}",3,2,3,4,Passed,,,,,,
30f1177ae4c80a53779973228029972b61a66c3fc8d8ec1a5cb32bde91abca44,A spell which removes dirt,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""While the spell uses an AoE and a neutral/wind gas manifestation, it does not directly represent the concept of 'removing dirt'\u2014instead, it seems to add a gas effect rather than actually cleansing or removing earth material."", ""instructional_precision"": ""The response does not implement any explicit mechanism for removing dirt or earth; it only creates a gas manifestation, missing the core instruction to remove or cleanse dirt."", ""emergence"": ""There is a small creative attempt to use a wind/neutral gas as a cleansing agent, but it does not go beyond a basic literal translation and lacks any surprising or clever detail."", ""structural_coherence"": ""The JSON is structurally valid and logically consistent with the component rules, with no forbidden nesting or data type errors.""}",2,2,2,5,Passed,,,,,,
12ab7e45b3c2750217186d313d8b014740a626a30f511071f37d4d9a04057c2f,holy hand grenade,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a 'holy hand grenade' with a projectile that explodes and applies healing and fire elements, but it lacks any unique or overtly 'holy' thematic flair beyond the elements and does not evoke the iconic, dramatic, or comedic aspects associated with the concept."", ""instructional_precision"": ""The spell uses both 'fire' and 'healing' elements as available in context, and implements a projectile with an explosive impact, but the inclusion of a healing powder manifestation and a buffCaster on a timerTrigger after impact is only loosely justified and not clearly tied to the prompt."", ""emergence"": ""While the spell adds a healing powder manifestation and a poison resistance buff, these additions feel somewhat arbitrary and do not meaningfully enhance the core 'holy hand grenade' idea in a creative or surprising way."", ""structural_coherence"": ""The JSON is structurally valid and uses only allowed components and elements, but it improperly nests a deathTrigger and timerTrigger as siblings within an impactTrigger's payload, which is not strictly forbidden but is awkward and could lead to ambiguous behavior.""}",3,3,2,4,Passed,,,,,,
d692658e8341194a25bf26517710d8f0d8de8fce39892f048449de79df1fe5c5,Wood which expands vertically when touched by water,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script captures the core idea of 'wood expanding vertically when touched by water' by checking for adjacent water and growing wood above and below, but does not include any additional thematic nuance or visual flair."", ""instructional_precision"": ""It follows the instruction to expand vertically when in contact with water, but does so in both directions (north and south) rather than only one, which could be interpreted as a minor imprecision depending on the user's intent."", ""emergence"": ""The behavior is a direct and literal translation of the prompt, with no extra emergent or creative features such as limiting runaway growth, adding a delay, or simulating swelling."", ""structural_coherence"": ""The JSON is structurally valid, uses only allowed node types, and is logically consistent with no errors.""}",3,4,2,5,Passed,,,,,,
00e40c83172fb335803ea03fc5334218765badfbda03a2fada6d18c3a7181d41,Leaves,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script captures the basic idea of 'leaves' by making them green, lightweight (falling down and drifting sideways), flammable, and subject to decay, but it lacks any interaction with 'wood' or trees, missing a key thematic connection."", ""instructional_precision"": ""There were no explicit instructions beyond the name 'Leaves', so the implementation is reasonable, but the lack of any attachment or regrowth logic means it misses a likely implicit expectation for leaves to relate to wood or trees."", ""emergence"": ""The script includes a nice emergent touch: leaves decay over time and can drift sideways or upwards with some randomness, which adds to the realism, but it does not go beyond standard expectations for a 'leaves' element."", ""structural_coherence"": ""The JSON is structurally valid, all node types and parameters are correct, and the logic is consistent with the rules and context.""}",3,3,3,5,Passed,,,,,,
5cb05db81fbfdaa5b97abf16ac18381acb359c831e0458d552ad648e3c9ee6ac,Update leaves to be stationary when touching wood,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script captures the core idea by making leaves stationary (i.e., disabling their normal movement and decay) when adjacent to wood, which aligns well with the prompt's intent."", ""instructional_precision"": ""It precisely implements the instruction: leaves only execute their normal behaviors (decay, burning, movement) if they are NOT adjacent to wood, ensuring they are stationary when touching wood."", ""emergence"": ""The solution is a direct and literal translation of the prompt, with no additional emergent or creative behaviors beyond what was requested."", ""structural_coherence"": ""The JSON is structurally valid, uses correct node types and parameters, and is logically consistent with the automata scripting rules.""}",4,5,3,5,Passed,,,,,,
ed489ede1417495d2b68d0a01f7e760da1f147f33ca24e6552f90405bd829773,"When wood is not growing, spawn leaves at the top of the wood",claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script captures the core idea: when wood is not growing (i.e., not adjacent to water), it attempts to spawn leaves above itself if the space is empty, which matches the prompt's intent."", ""instructional_precision"": ""It correctly checks for the absence of water neighbors to determine if wood is 'not growing' and only then spawns leaves at the top, precisely following the user's instruction."", ""emergence"": ""The implementation is competent and functional, but it does not introduce any additional emergent or creative behaviors beyond the literal requirements."", ""structural_coherence"": ""The JSON is valid, well-structured, and logically consistent with the automata scripting rules and the context provided.""}",4,5,3,5,Passed,,,,,,
e205a105ff586ad49b74de59b8e2104d073a4ee9ef217a0f4b2b28819088ada7,Update fire to burn wood and leaves,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script directly addresses the prompt by updating fire to burn both wood and leaves, matching the core thematic intent."", ""instructional_precision"": ""It precisely implements the instruction by adding logic for fire to convert adjacent wood and leaves into fire in all four cardinal directions."", ""emergence"": ""The behavior is a literal extension of the original fire logic, with no additional emergent or creative features beyond the requested burning of wood and leaves."", ""structural_coherence"": ""The JSON is structurally valid, uses only allowed node types and parameters, and is free of logical contradictions.""}",4,5,3,5,Passed,,,,,,
1b56700ae6043314023a541ea8a4eb9845468cfccb5eddd4a6cf6be70c9f95a8,Update gas to disappear when touched by fire,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script directly implements the requested behavior: gas disappears (turns to air) when adjacent to fire, which matches the prompt's intent."", ""instructional_precision"": ""The explicit instruction to make gas disappear when touched by fire is followed exactly, with a neighbor count check for fire and a type change to air."", ""emergence"": ""The solution is functional but literal, simply adding the required disappearance mechanic without any additional emergent or creative features."", ""structural_coherence"": ""The JSON is structurally valid, uses correct node types and parameters, and integrates cleanly with the existing context.""}",4,5,3,5,Passed,,,,,,
0bccad6d17eeee070349e10c30f0273c4002aec36d00855cdb23538d364ffab9,Ice,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The script captures the basic idea of 'ice' by enabling it to freeze adjacent water and melt when near heat sources, but it lacks more nuanced or creative behaviors such as sliding or unique interactions with other elements."", ""instructional_precision"": ""Although the prompt was minimal, the script logically implements ice freezing water and melting near fire or pyrolava, and transitions to water at low alpha, which aligns well with expected behavior for 'ice'."", ""emergence"": ""There is some emergent behavior in the probabilistic freezing of water and gradual melting, but nothing particularly clever or surprising beyond standard expectations for an 'ice' element."", ""structural_coherence"": ""The JSON is structurally valid, uses correct node types and parameters, and is free of logical contradictions or forbidden constructs.""}",3,5,3,5,Passed,,,,,,
15cdef17613e56ea60c120db7724fadc9b2044cad1ed51d521ec2e9399192079,cast lightning bolt on opponent,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell correctly represents a lightning bolt by using a fast, low-gravity projectile with the electric element and an appropriate color, but it lacks any special effects or visual flair that would make it feel truly like a lightning strike."", ""instructional_precision"": ""The response follows the basic instruction to cast a lightning bolt at an opponent, but the inclusion of bounces is questionable for a lightning bolt, which is typically a straight, instantaneous effect."", ""emergence"": ""This is a competent but literal implementation, with no additional features such as chaining, stunning, or explosive effects that could make a lightning bolt more interesting or dynamic."", ""structural_coherence"": ""The JSON is valid, all component types and properties are used correctly, and there are no logical contradictions.""}",3,3,2,5,Passed,,,,,,
07ae88855bc8a87b35147bee3b193937a1293e0ebac5c05f047e3493d7a3475a,drop cloud onto opponent from the sky,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell effectively represents dropping a cloud from the sky with a downward projectile and a gas manifestation, but the use of 'poison' and 'electric' elements makes the cloud more harmful than a generic 'cloud', missing the neutral or weather-like nuance implied by the prompt."", ""instructional_precision"": ""The spell uses a downward angle (270 degrees) to simulate dropping from the sky and manifests a cloud on impact, but it does not explicitly target an opponent or ensure the cloud falls directly onto them, and the element choices may not match the user's likely intent."", ""emergence"": ""While the spell is competently constructed, it does not add any clever or surprising features beyond the basic interpretation of the prompt."", ""structural_coherence"": ""The JSON is structurally valid and all components are used correctly according to the rules, but the 'elements' array in the manifestation includes two elements, which is allowed, though it could be more thematically justified.""}",3,3,3,5,Passed,,,,,,
277cb553bdc78c02118ed2a452d9d5e65aa04a2c912c94775521c3a1d73c5f5c,cast snake which slithers around map and bites opponents,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell uses a wallCrawl component to simulate slithering and a poison element to represent a venomous snake, but the 'bite' is represented only by leaving a harmful liquid, missing the direct attack or damage aspect of a snake bite."", ""instructional_precision"": ""While the spell implements slithering and poison, it does not directly address the 'bite' as an attack on opponents\u2014manifesting poison liquid on impact is an indirect effect rather than a clear bite mechanic."", ""emergence"": ""The use of a wallCrawl homing projectile with a poison manifestation is a competent but expected translation, with no surprising or particularly clever features beyond the basic requirements."", ""structural_coherence"": ""The JSON is structurally valid and uses only allowed components and properties, but the use of a manifestation as a bite effect is a slight logical stretch, as a direct damage or debuff would have been more precise.""}",3,3,3,5,Passed,,,,,,
9d191d03074a4cf171302efea6f834d8c4e73cce614070dcf2d523e477f1fcdf,"Throw a playing card which targets the nearest enemy, and deals damage that scales with a random generated number",claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of throwing a homing playing card and dealing damage, but it misses the critical theme of damage scaling with a random number, which is central to the 'lucky' or 'random' aspect."", ""instructional_precision"": ""While the spell correctly implements a homing projectile and neutral element, it fails to represent the scaling/randomized damage mechanic, and redundantly includes a color component in the impactTrigger payload, which is ignored for explosions."", ""emergence"": ""The spell is a competent, literal translation of the prompt's basic mechanics but adds no creative flair or interesting twist to the concept."", ""structural_coherence"": ""The JSON is structurally valid and uses allowed components, but the inclusion of a color component inside the impactTrigger payload for an explosion is unnecessary and ignored, representing a minor structural flaw.""}",3,2,2,4,Passed,,,,,,
167c327c7d7bc5eb31e62485378be8f9f3fdc9d36d756003275cc797b1f3bbbc,Affect opponent with the giggles and take damage over time,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell delivers a poison gas that damages over time, but it fails to represent the 'giggles' or any laughter-related effect, missing the whimsical aspect of the prompt."", ""instructional_precision"": ""It implements the damage-over-time mechanic via repeated poison explosions, but does not address the explicit instruction to cause giggling or a laughter effect on the opponent."", ""emergence"": ""The spell is a straightforward poison DoT with no creative or unexpected features that evoke giggling or humor, making it competent but uninspired."", ""structural_coherence"": ""The JSON is structurally valid and uses only allowed components, but incorrectly nests a timerTrigger alongside a manifestation in the same impactTrigger, which is not permitted since manifestation should end the spell.""}",2,2,2,3,Passed,,,,,,
e2c904612bec0888521e6d65884ad89a0620b3d71a4dea1701742a05fc2a27f4,give me superman laser vision that burns,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a burning laser by using a fast, gravity-free fire projectile with a red color, but it lacks the continuous beam aspect and iconic visual of Superman's laser vision."", ""instructional_precision"": ""It follows the basic instruction for a burning, fire-themed laser, but misses the nuance of a sustained or beam-like effect that would better match 'laser vision'."", ""emergence"": ""The spell is a competent, literal translation of the prompt with a burning gas manifestation on impact, but adds no creative or unexpected features."", ""structural_coherence"": ""The JSON is structurally valid and all components are used correctly according to the rules.""}",3,3,2,5,Passed,,,,,,
0986e6ea6344a41f7b1fb80b8ba77a68b28625ad0c8cf8be5c9bf92c41d1d7e3,Give me a random superhero power from the avengers,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell effectively evokes Captain America's iconic shield with a boomerang projectile and a solid manifestation, but lacks any unique superheroic flair or additional powers beyond the shield throw."", ""instructional_precision"": ""While the spell is a competent representation of a vibranium shield throw, the user requested a 'random superhero power' from the Avengers, not specifically Captain America's shield, so the response is overly specific and not random."", ""emergence"": ""The spell is a direct and literal translation of the shield-throwing concept, with no extra creative features or unexpected behaviors that would elevate it beyond the obvious."", ""structural_coherence"": ""The JSON is structurally valid and all components are used correctly according to the rules, but the manifestation's 'lifespan' is unusually long for a thrown shield and could have been explained better.""}",3,2,2,5,Passed,,,,,,
d44e4b24307491bb36da37080cb0cf854c2db5b2ed64bf4c363ed3f8398778dd,Give me a panda sidekick that blocks all damage and bites all opponents on the map,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell attempts to represent a 'Guardian Panda' by combining a shield and a recurring AoE bite effect, but it fails to evoke the sidekick or panda aspect in any meaningful or thematic way."", ""instructional_precision"": ""While it implements a shield to block damage and an AoE attack to bite opponents, it does not create a persistent sidekick entity and the 'bite' is represented as a generic poison gas, missing the explicit instruction for a panda sidekick and the physicality of a bite."", ""emergence"": ""The spell is a straightforward combination of shield and recurring AoE poison, with no clever or surprising features that enhance the panda or sidekick theme."", ""structural_coherence"": ""The JSON is structurally valid and the components are correctly nested, but the use of a manifestation inside a deathTrigger of an AoE that lasts only 1 turn is somewhat redundant and the lack of a true 'sidekick' or persistent entity is a logical gap.""}",2,2,2,4,Passed,,,,,,
e187a2e1a273d29f90750fbc7b0d7ba6ef388711eb9ddca3bdfabc4e7e3d6e4f,bright blue thunderbolt strikes,claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell effectively conveys the idea of a bright blue thunderbolt strike with electric element, blue coloring, and a fast projectile, but the use of a volley (count: 3) and random angles slightly diverges from the singular, focused 'strike' implied by the prompt."", ""instructional_precision"": ""The spell follows the main instructions for electric element and blue color, but the inclusion of three projectiles and random angles does not strictly match the singular 'thunderbolt' described, and the impact explosion's color and element are redundantly specified."", ""emergence"": ""While the spell adds a volley effect and a visually impactful explosion, these additions are not particularly creative or surprising for a thunderbolt concept and do not elevate the spell beyond a competent implementation."", ""structural_coherence"": ""The JSON is structurally valid and uses only allowed components, but the impactTrigger's payload redundantly includes both an explosion and a color/element, which is unnecessary since the explosion should inherit the spell's properties.""}",4,3,3,4,Passed,,,,,,
bc656586abeca370f015b393c0b7035f0bbb88a1160d392891226bea5ae60499,"a cartoon bomb falls from the sky, and explodes fireworks",claude-4-sonnet-20250514,oneshot,1,,"{""creative_alignment"": ""The spell captures the idea of a bomb falling and exploding into fireworks-like projectiles, but the visual and playful 'cartoon' aspect is not strongly represented, and the fireworks effect is only loosely implied by the nested projectiles."", ""instructional_precision"": ""The response follows the main instructions (falling bomb, explosion, fireworks), but the use of 'electric' for the fireworks projectiles is questionable given the 'fireworks' theme and available elements, and the color choices do not fully evoke a fireworks display."", ""emergence"": ""There is some creativity in using multiple deathTriggers to simulate fireworks bursts, but the implementation is fairly literal and does not add any delightful or unexpected features that would enhance the cartoon or fireworks feel."", ""structural_coherence"": ""The JSON is structurally valid and logically consistent with the rules, but the use of both 'color' and 'element' components at multiple levels is somewhat redundant and the fireworks effect could be more clearly structured.""}",3,3,3,4,Passed,,,,,,
